,1,2
0,90.0,241.5
1,90.0,241.5
2,90.5,241.5
3,90.5,241.5
4,90.5,241.5
5,90.5,241.5
6,90.5,241.5
7,90.5,241.5
8,90.5,241.5
9,90.5,242.0
10,90.5,242.0
11,90.5,242.0
12,90.5,242.0
13,90.5,242.0
14,90.5,242.0
15,90.5,242.0
16,90.5,242.5
17,90.5,242.5
18,90.5,242.5
19,90.5,242.5
20,90.5,242.5
21,90.5,242.5
22,90.5,242.5
23,90.5,242.5
24,90.5,242.5
25,90.5,242.5
26,90.5,242.5
27,90.5,241.5
28,90.5,241.0
29,90.5,240.0
30,90.5,237.0
31,90.5,233.5
32,90.5,231.5
33,90.5,229.0
34,90.5,227.5
35,90.5,226.0
36,90.5,223.0
37,90.5,221.5
38,90.5,220.5
39,90.5,219.5
40,90.5,218.5
41,90.5,217.5
42,90.5,216.5
43,90.5,215.5
44,90.5,214.5
45,90.5,213.5
46,90.5,213.5
47,90.5,213.5
48,90.5,213.5
49,90.5,213.5
50,90.5,213.5
51,90.5,213.5
52,90.5,213.5
53,90.5,213.5
54,90.5,213.5
55,90.5,213.5
56,90.5,213.5
57,90.5,213.5
58,90.5,213.5
59,90.5,213.5
60,90.5,213.5
61,91.0,213.5
62,91.5,213.5
63,92.5,213.5
64,93.0,213.5
65,94.0,214.0
66,95.0,215.0
67,96.5,215.5
68,98.0,217.0
69,98.5,217.5
70,99.0,218.0
71,100.0,218.5
72,100.5,219.0
73,101.0,219.5
74,101.5,220.0
75,102.0,221.0
76,102.5,221.5
77,103.0,222.0
78,103.5,222.0
79,104.0,222.5
80,104.5,223.0
81,105.0,223.0
82,105.5,223.0
83,105.5,223.0
84,106.0,223.0
85,106.5,223.0
86,107.0,223.0
87,107.5,223.0
88,108.0,223.0
89,108.5,223.0
90,108.5,223.0
91,108.5,222.5
92,109.0,222.5
93,109.5,221.5
94,110.0,221.0
95,110.5,220.0
96,111.0,219.5
97,111.5,218.5
98,111.5,218.0
99,112.0,216.5
100,112.0,210.5
101,112.0,203.5
102,112.5,201.5
103,112.5,200.0
104,112.5,198.5
105,112.5,197.5
106,112.5,197.0
107,112.5,197.0
108,112.5,197.0
109,112.5,197.0
110,112.5,197.0
111,112.5,197.0
112,112.5,197.0
113,112.5,197.0
114,112.5,197.0
115,112.5,197.0
116,112.5,197.0
117,112.5,197.0
118,112.5,197.0
119,112.5,197.0
120,112.5,197.0
121,112.5,197.0
122,112.5,197.0
123,112.5,197.0
124,112.5,197.5
125,112.5,197.5
126,112.5,198.5
127,112.5,198.5
128,112.5,199.0
129,112.5,199.5
130,112.5,200.5
131,112.5,202.0
132,112.5,203.0
133,112.5,203.5
134,112.5,204.5
135,112.5,204.5
136,112.5,204.5
137,112.5,204.5
138,112.5,204.5
139,112.5,204.5
140,112.5,204.5
141,112.5,204.5
142,112.5,204.5
143,112.5,204.5
144,112.5,204.5
145,112.5,204.5
146,112.5,203.5
147,112.5,202.5
148,112.5,202.0
149,112.5,201.0
150,112.5,200.0
151,112.5,199.0
152,112.5,198.5
153,112.5,197.0
154,113.0,190.5
155,113.0,184.0
156,113.0,182.0
157,113.0,180.5
158,113.0,179.5
159,113.0,178.5
160,113.0,177.5
161,113.0,177.0
162,113.0,176.0
163,113.0,175.0
164,113.0,174.0
165,113.0,174.0
166,113.0,173.0
167,113.0,172.0
168,113.0,171.5
169,113.0,171.5
170,113.0,171.5
171,113.0,171.0
172,113.0,171.0
173,113.0,171.0
174,113.0,171.0
175,113.0,171.0
176,113.0,171.0
177,113.0,171.0
178,113.5,171.0
179,113.5,171.0
180,113.5,171.0
181,114.0,171.0
182,114.5,171.5
183,114.5,171.5
184,115.0,172.0
185,115.5,172.0
186,116.0,172.5
187,116.0,173.0
188,116.5,173.5
189,117.5,174.0
190,118.0,175.0
191,118.5,176.0
192,120.0,177.0
193,121.5,177.5
194,122.5,178.5
195,123.0,179.0
196,124.0,179.0
197,124.5,179.5
198,125.5,180.0
199,126.5,180.0
200,127.0,180.0
201,128.0,180.0
202,129.5,180.0
203,131.5,180.0
204,132.5,180.0
205,133.0,180.0
206,134.0,180.0
207,134.5,180.0
208,135.5,180.0
209,135.5,180.0
210,135.5,179.5
211,135.5,179.5
212,135.5,179.5
