,1,2
0,122.0,227.5
1,122.5,227.5
2,123.5,227.5
3,124.0,227.5
4,124.0,227.0
5,124.5,226.5
6,125.5,226.0
7,126.0,225.5
8,127.0,225.0
9,127.5,225.0
10,129.0,225.0
11,130.0,225.0
12,130.5,224.5
13,131.5,224.5
14,132.5,224.0
15,133.5,224.0
16,134.5,223.5
17,135.0,223.5
18,135.5,223.5
19,136.0,223.0
20,136.5,223.0
21,136.5,223.0
22,137.0,223.0
23,137.5,223.0
24,138.0,222.5
25,138.5,222.0
26,138.5,222.0
27,139.0,222.0
28,140.0,221.5
29,140.0,221.5
30,140.5,221.5
31,140.5,221.0
32,141.0,221.0
33,141.5,221.0
34,142.0,221.0
35,142.5,221.0
36,143.0,221.0
37,143.5,221.0
38,144.0,221.0
39,144.0,220.5
40,144.5,220.5
41,144.5,220.0
42,144.5,220.0
43,144.5,219.5
44,145.0,219.5
45,145.0,219.5
46,145.5,219.0
47,145.5,219.0
48,146.0,218.5
49,146.0,218.5
50,146.5,218.0
51,146.5,218.0
52,146.5,218.0
53,147.0,218.0
54,147.5,218.0
55,147.5,218.0
56,147.5,218.0
57,147.5,217.5
58,147.5,217.0
59,147.5,216.5
60,147.5,216.5
61,147.5,216.5
62,147.5,216.5
63,147.5,216.0
64,147.5,216.0
65,147.5,215.5
66,147.5,215.5
67,147.5,215.0
68,147.5,214.5
69,147.5,214.0
70,147.5,213.5
71,147.5,213.0
72,147.5,212.5
73,147.0,212.0
74,147.0,212.0
75,146.5,211.5
76,146.5,210.5
77,146.5,210.0
78,146.5,209.5
79,146.5,209.0
80,145.5,208.5
81,145.5,208.0
82,145.5,207.0
83,145.0,206.0
84,145.0,205.5
85,144.5,205.0
86,144.5,204.5
87,144.0,203.5
88,144.0,202.5
89,143.5,202.0
90,143.0,201.5
91,142.5,201.0
92,142.5,200.0
93,142.0,199.0
94,142.0,198.5
95,141.0,197.5
96,140.0,197.0
97,139.5,196.0
98,139.0,195.0
99,138.5,194.0
100,137.5,193.0
101,137.5,192.5
102,137.0,191.0
103,136.0,189.5
104,135.5,189.0
105,135.0,188.5
106,134.5,187.0
107,134.0,186.0
108,133.5,185.5
109,133.0,185.0
110,132.5,184.5
111,132.0,184.0
112,131.5,183.5
113,131.0,182.5
114,131.0,181.5
115,130.0,180.0
116,129.5,179.0
117,129.5,178.0
118,129.5,177.0
119,129.0,176.0
120,128.5,175.5
121,128.0,175.5
122,128.0,175.0
123,127.5,174.5
124,127.5,174.5
125,127.0,174.5
126,127.0,174.0
127,126.5,174.0
128,126.5,174.0
129,126.0,173.5
130,125.5,173.5
131,125.0,173.0
132,125.0,173.0
133,124.5,173.0
134,124.5,173.0
135,124.0,173.0
136,124.0,173.0
137,123.5,172.5
138,123.5,172.0
139,123.5,171.5
140,123.5,171.5
141,122.5,171.0
142,122.0,171.0
143,121.5,171.0
144,121.0,171.0
145,121.0,171.0
146,120.5,170.5
147,120.0,170.5
148,120.0,170.0
149,119.5,170.0
150,119.5,170.0
151,119.0,170.0
152,119.0,170.0
153,119.0,170.0
154,118.5,170.0
155,118.5,170.0
156,118.0,170.0
157,118.0,170.0
158,117.5,170.0
159,117.0,170.0
160,117.0,170.0
161,117.0,170.0
162,116.5,170.0
163,116.5,170.0
164,116.5,170.0
165,116.5,170.0
166,116.0,170.0
167,116.0,170.0
168,116.0,170.0
169,116.0,170.0
170,115.5,170.0
171,115.0,170.0
172,115.0,170.0
173,115.0,170.0
174,115.0,170.0
175,115.0,170.0
176,115.0,170.0
177,114.5,169.5
178,114.5,169.5
179,114.5,169.5
180,114.0,169.5
181,114.0,169.5
182,114.0,169.5
183,113.5,169.0
184,113.5,169.0
185,113.0,169.0
186,113.0,169.0
187,113.0,168.5
188,113.0,168.5
189,113.0,168.0
190,113.0,167.5
191,113.0,167.0
192,113.0,166.5
193,112.5,166.5
194,112.5,166.0
195,112.5,166.0
196,112.5,165.5
197,112.5,165.0
198,112.5,165.0
199,112.5,164.5
200,112.5,164.0
201,112.5,163.5
202,112.5,163.0
203,112.5,163.0
204,112.5,162.5
205,112.5,162.0
206,112.5,162.0
207,112.5,161.5
208,112.5,161.0
